Location,Year,Company Type,Number of Companies,Productivity
Almeirim,2013,"Agriculture, farming, hunting, forestry and fishing",784,10764.4
Alpiarça,2013,"Agriculture, farming, hunting, forestry and fishing",259,9499.4
Azambuja,2013,"Agriculture, farming, hunting, forestry and fishing",227,8929.7
Benavente,2013,"Agriculture, farming, hunting, forestry and fishing",203,7734.2
Cartaxo,2013,"Agriculture, farming, hunting, forestry and fishing",284,10772.9
Chamusca,2013,"Agriculture, farming, hunting, forestry and fishing",224,11089.5
Coruche,2013,"Agriculture, farming, hunting, forestry and fishing",482,9981.7
Golegã,2013,"Agriculture, farming, hunting, forestry and fishing",┴ 152,"┴ 8,915.0"
Rio Maior,2013,"Agriculture, farming, hunting, forestry and fishing",332,13720.4
Salvaterra de Magos,2013,"Agriculture, farming, hunting, forestry and fishing",255,10116.6
Santarém,2013,"Agriculture, farming, hunting, forestry and fishing",┴ 529,"┴ 10,423.1"
Alto Alentejo,2013,"Agriculture, farming, hunting, forestry and fishing",2473,6109.2
Alter do Chão,2013,"Agriculture, farming, hunting, forestry and fishing",92,6469.1
Arronches,2013,"Agriculture, farming, hunting, forestry and fishing",89,7589.5
Avis,2013,"Agriculture, farming, hunting, forestry and fishing",135,11678.5
Campo Maior,2013,"Agriculture, farming, hunting, forestry and fishing",171,3303.8
Castelo de Vide,2013,"Agriculture, farming, hunting, forestry and fishing",86,1917.3
Crato,2013,"Agriculture, farming, hunting, forestry and fishing",87,3667.1
Elvas,2013,"Agriculture, farming, hunting, forestry and fishing",412,5853.2
Fronteira,2013,"Agriculture, farming, hunting, forestry and fishing",134,7283.3
Gavião,2013,"Agriculture, farming, hunting, forestry and fishing",54,-1356.1
Marvão,2013,"Agriculture, farming, hunting, forestry and fishing",123,2542.9
Monforte,2013,"Agriculture, farming, hunting, forestry and fishing",84,6627.5
Nisa,2013,"Agriculture, farming, hunting, forestry and fishing",165,5831.2
Ponte de Sor,2013,"Agriculture, farming, hunting, forestry and fishing",319,6957.9
Portalegre,2013,"Agriculture, farming, hunting, forestry and fishing",331,5092.9
Sousel,2013,"Agriculture, farming, hunting, forestry and fishing",191,7367.4
Alentejo Central,2013,"Agriculture, farming, hunting, forestry and fishing",3635,7299.1
Alandroal,2013,"Agriculture, farming, hunting, forestry and fishing",155,5642.6
Arraiolos,2013,"Agriculture, farming, hunting, forestry and fishing",166,9322.5
Borba,2013,"Agriculture, farming, hunting, forestry and fishing",163,11923.6
Estremoz,2013,"Agriculture, farming, hunting, forestry and fishing",404,6557.8
Évora,2013,"Agriculture, farming, hunting, forestry and fishing",738,5061.1
Montemor-o-Novo,2013,"Agriculture, farming, hunting, forestry and fishing",427,12067.9
Mora,2013,"Agriculture, farming, hunting, forestry and fishing",130,4822.8
Mourão,2013,"Agriculture, farming, hunting, forestry and fishing",118,3525.3
Portel,2013,"Agriculture, farming, hunting, forestry and fishing",287,6827.7
Redondo,2013,"Agriculture, farming, hunting, forestry and fishing",235,9572.5
Reguengos de Monsaraz,2013,"Agriculture, farming, hunting, forestry and fishing",448,6074.2
Vendas Novas,2013,"Agriculture, farming, hunting, forestry and fishing",172,5926
Viana do Alentejo,2013,"Agriculture, farming, hunting, forestry and fishing",124,7355.3
Vila Viçosa,2013,"Agriculture, farming, hunting, forestry and fishing",68,-955.7
Algarve,2013,"Agriculture, farming, hunting, forestry and fishing",4368,9125.7
Algarve,2013,"Agriculture, farming, hunting, forestry and fishing",4368,9125.7
Albufeira,2013,"Agriculture, farming, hunting, forestry and fishing",205,11630.3
Alcoutim,2013,"Agriculture, farming, hunting, forestry and fishing",70,8013.9
Aljezur,2013,"Agriculture, farming, hunting, forestry and fishing",134,6568.2
Castro Marim,2013,"Agriculture, farming, hunting, forestry and fishing",74,3438.9
Faro,2013,"Agriculture, farming, hunting, forestry and fishing",613,8954.6
Lagoa,2013,"Agriculture, farming, hunting, forestry and fishing",102,12068.8
Lagos,2013,"Agriculture, farming, hunting, forestry and fishing",165,10739.7
Loulé,2013,"Agriculture, farming, hunting, forestry and fishing",643,8841.4
Monchique,2013,"Agriculture, farming, hunting, forestry and fishing",159,9104.7
Olhão,2013,"Agriculture, farming, hunting, forestry and fishing",594,11257.5
Portimão,2013,"Agriculture, farming, hunting, forestry and fishing",263,5600
São Brás de Alportel,2013,"Agriculture, farming, hunting, forestry and fishing",58,5634.5
Silves,2013,"Agriculture, farming, hunting, forestry and fishing",632,7802.3
Tavira,2013,"Agriculture, farming, hunting, forestry and fishing",396,6617.9
Vila do Bispo,2013,"Agriculture, farming, hunting, forestry and fishing",119,8409.3
Vila Real de Santo António,2013,"Agriculture, farming, hunting, forestry and fishing",141,12928
Continente,2013,Mining and quarrying,1117,45166.7
Norte,2013,Mining and quarrying,360,16126.9
Alto Minho,2013,Mining and quarrying,58,-
Arcos de Valdevez,2013,Mining and quarrying,2,-
Caminha,2013,Mining and quarrying,2,-
Melgaço,2013,Mining and quarrying,1,-
Monção,2013,Mining and quarrying,14,45338.3
Paredes de Coura,2013,Mining and quarrying,0,-
Ponte da Barca,2013,Mining and quarrying,3,32864
Ponte de Lima,2013,Mining and quarrying,17,-
Valença,2013,Mining and quarrying,9,18452.8
Viana do Castelo,2013,Mining and quarrying,9,39537.1
Vila Nova de Cerveira,2013,Mining and quarrying,1,-
Cávado,2013,Mining and quarrying,38,-
Amares,2013,Mining and quarrying,2,-
Barcelos,2013,Mining and quarrying,6,15344.2
Braga,2013,Mining and quarrying,14,-815.9
Esposende,2013,Mining and quarrying,10,20448.3
Terras de Bouro,2013,Mining and quarrying,0,-
Vila Verde,2013,Mining and quarrying,6,-
Ave,2013,Mining and quarrying,45,-
Cabeceiras de Basto,2013,Mining and quarrying,2,-
Fafe,2013,Mining and quarrying,2,-
Guimarães,2013,Mining and quarrying,14,17287.5
Mondim de Basto,2013,Mining and quarrying,14,8547
Póvoa de Lanhoso,2013,Mining and quarrying,5,15552.9
Vieira do Minho,2013,Mining and quarrying,1,-
Vila Nova de Famalicão,2013,Mining and quarrying,7,7835.9
Vizela,2013,Mining and quarrying,0,-
Área Metropolitana do Porto,2013,Mining and quarrying,43,-
Arouca,2013,Mining and quarrying,6,10679.4
Espinho,2013,Mining and quarrying,0,-
Gondomar,2013,Mining and quarrying,0,-
Maia,2013,Mining and quarrying,3,35362.4
Matosinhos,2013,Mining and quarrying,2,-
Oliveira de Azeméis,2013,Mining and quarrying,5,22113.3
Paredes,2013,Mining and quarrying,1,-
Porto,2013,Mining and quarrying,5,12914.3
Póvoa de Varzim,2013,Mining and quarrying,3,1269
Santa Maria da Feira,2013,Mining and quarrying,1,-
Santo Tirso,2013,Mining and quarrying,3,26469.9
São João da Madeira,2013,Mining and quarrying,0,-
Trofa,2013,Mining and quarrying,1,-
Vale de Cambra,2013,Mining and quarrying,1,-
Valongo,2013,Mining and quarrying,5,24593
Vila do Conde,2013,Mining and quarrying,3,16113.3
Vila Nova de Gaia,2013,Mining and quarrying,4,15797.9
Alto Tâmega,2013,Mining and quarrying,48,-
Boticas,2013,Mining and quarrying,5,11507.2
Chaves,2013,Mining and quarrying,9,18720.8
Montalegre,2013,Mining and quarrying,5,-
Ribeira de Pena,2013,Mining and quarrying,0,-
Valpaços,2013,Mining and quarrying,6,29143.1
Vila Pouca de Aguiar,2013,Mining and quarrying,23,16618.8
Tâmega e Sousa,2013,Mining and quarrying,76,-
Amarante,2013,Mining and quarrying,6,18292.3
Baião,2013,Mining and quarrying,0,-
Castelo de Paiva,2013,Mining and quarrying,1,-
Celorico de Basto,2013,Mining and quarrying,0,-
Cinfães,2013,Mining and quarrying,0,-
Felgueiras,2013,Mining and quarrying,2,-
Lousada,2013,Mining and quarrying,0,-
Marco de Canaveses,2013,Mining and quarrying,30,16071.5
Paços de Ferreira,2013,Mining and quarrying,10,10106.7
Penafiel,2013,Mining and quarrying,27,10137.2
Resende,2013,Mining and quarrying,0,-
Douro,2013,Mining and quarrying,39,-
Alijó,2013,Mining and quarrying,0,-
Armamar,2013,Mining and quarrying,2,-
Carrazeda de Ansiães,2013,Mining and quarrying,0,-
Freixo de Espada à Cinta,2013,Mining and quarrying,0,-
Lamego,2013,Mining and quarrying,1,-
Mesão Frio,2013,Mining and quarrying,0,-
Moimenta da Beira,2013,Mining and quarrying,0,-
Murça,2013,Mining and quarrying,2,-
Penedono,2013,Mining and quarrying,2,-
Peso da Régua,2013,Mining and quarrying,0,-
Sabrosa,2013,Mining and quarrying,3,21530.7
Santa Marta de Penaguião,2013,Mining and quarrying,0,-
São João da Pesqueira,2013,Mining and quarrying,2,-
Sernancelhe,2013,Mining and quarrying,6,3266.2
Tabuaço,2013,Mining and quarrying,1,-
Tarouca,2013,Mining and quarrying,1,-
Torre de Moncorvo,2013,Mining and quarrying,2,-
Vila Nova de Foz Côa,2013,Mining and quarrying,6,22506.3
Vila Real,2013,Mining and quarrying,11,17356.7
Terras de Trás-os-Montes,2013,Mining and quarrying,13,-
Alfândega da Fé,2013,Mining and quarrying,0,-
Bragança,2013,Mining and quarrying,4,-
Macedo de Cavaleiros,2013,Mining and quarrying,3,22343
Miranda do Douro,2013,Mining and quarrying,2,-
Mirandela,2013,Mining and quarrying,1,-
Mogadouro,2013,Mining and quarrying,0,-
Vila Flor,2013,Mining and quarrying,1,-
Vimioso,2013,Mining and quarrying,0,-
Vinhais,2013,Mining and quarrying,2,-
Centro,2013,Mining and quarrying,430,28319.1
Oeste,2013,Mining and quarrying,78,-
Alcobaça,2013,Mining and quarrying,38,36783
Alenquer,2013,Mining and quarrying,13,7395.9
Arruda dos Vinhos,2013,Mining and quarrying,0,-
Bombarral,2013,Mining and quarrying,1,-
Cadaval,2013,Mining and quarrying,13,14810.7
Caldas da Rainha,2013,Mining and quarrying,2,-
Lourinhã,2013,Mining and quarrying,4,32690.9
Nazaré,2013,Mining and quarrying,0,-
Óbidos,2013,Mining and quarrying,2,-
Peniche,2013,Mining and quarrying,2,-
Sobral de Monte Agraço,2013,Mining and quarrying,0,-
Torres Vedras,2013,Mining and quarrying,3,58
Região de Aveiro,2013,Mining and quarrying,32,-
Águeda,2013,Mining and quarrying,8,22011.2
Albergaria-a-Velha,2013,Mining and quarrying,1,-
Anadia,2013,Mining and quarrying,1,-
Aveiro,2013,Mining and quarrying,3,4761.1
Estarreja,2013,Mining and quarrying,0,-
Ílhavo,2013,Mining and quarrying,3,11968.6
Murtosa,2013,Mining and quarrying,0,-
Oliveira do Bairro,2013,Mining and quarrying,3,29392.3
Ovar,2013,Mining and quarrying,3,-416.4
Sever do Vouga,2013,Mining and quarrying,6,9361.6
Vagos,2013,Mining and quarrying,4,18348.5
Região de Coimbra,2013,Mining and quarrying,60,-
Arganil,2013,Mining and quarrying,1,-
Cantanhede,2013,Mining and quarrying,9,18715.2
Coimbra,2013,Mining and quarrying,5,9831.1
Condeixa-a-Nova,2013,Mining and quarrying,5,14016.1
Figueira da Foz,2013,Mining and quarrying,24,10863.1
Góis,2013,Mining and quarrying,1,-
Lousã,2013,Mining and quarrying,1,-
Mealhada,2013,Mining and quarrying,0,-
Mira,2013,Mining and quarrying,1,-
Miranda do Corvo,2013,Mining and quarrying,2,-
Montemor-o-Velho,2013,Mining and quarrying,0,-
Mortágua,2013,Mining and quarrying,0,-
Oliveira do Hospital,2013,Mining and quarrying,3,14485.7
Pampilhosa da Serra,2013,Mining and quarrying,0,-
Penacova,2013,Mining and quarrying,2,-
Penela,2013,Mining and quarrying,0,-
Soure,2013,Mining and quarrying,4,-
Tábua,2013,Mining and quarrying,2,-
Vila Nova de Poiares,2013,Mining and quarrying,0,-
Região de Leiria,2013,Mining and quarrying,162,-
Alvaiázere,2013,Mining and quarrying,1,-
Ansião,2013,Mining and quarrying,8,9469.1
Batalha,2013,Mining and quarrying,13,29063.7
Castanheira de Pêra,2013,Mining and quarrying,0,-
Figueiró dos Vinhos,2013,Mining and quarrying,0,-
Leiria,2013,Mining and quarrying,17,43268
Marinha Grande,2013,Mining and quarrying,1,-
Pedrógão Grande,2013,Mining and quarrying,0,-
Pombal,2013,Mining and quarrying,16,46679.7
Porto de Mós,2013,Mining and quarrying,106,28837.9
Viseu Dão Lafões,2013,Mining and quarrying,42,-
Aguiar da Beira,2013,Mining and quarrying,3,32773.9
Carregal do Sal,2013,Mining and quarrying,1,-
Castro Daire,2013,Mining and quarrying,8,11483
Mangualde,2013,Mining and quarrying,6,31176.3
Nelas,2013,Mining and quarrying,1,-
Oliveira de Frades,2013,Mining and quarrying,2,-
Penalva do Castelo,2013,Mining and quarrying,3,29188.1
Santa Comba Dão,2013,Mining and quarrying,0,-
São Pedro do Sul,2013,Mining and quarrying,1,-
Sátão,2013,Mining and quarrying,3,13624
Tondela,2013,Mining and quarrying,6,8808.2
Vila Nova de Paiva,2013,Mining and quarrying,1,-
Viseu,2013,Mining and quarrying,7,18827.3
Vouzela,2013,Mining and quarrying,0,-
Beira Baixa,2013,Mining and quarrying,3,-
Castelo Branco,2013,Mining and quarrying,3,-
Idanha-a-Nova,2013,Mining and quarrying,0,-
Oleiros,2013,Mining and quarrying,0,-
Penamacor,2013,Mining and quarrying,0,-
Proença-a-Nova,2013,Mining and quarrying,0,-
Vila Velha de Ródão,2013,Mining and quarrying,0,-
Médio Tejo,2013,Mining and quarrying,12,-
Abrantes,2013,Mining and quarrying,0,-
Alcanena,2013,Mining and quarrying,0,-
Constância,2013,Mining and quarrying,1,-
Entroncamento,2013,Mining and quarrying,0,-
Ferreira do Zêzere,2013,Mining and quarrying,0,-
Mação,2013,Mining and quarrying,0,-
Ourém,2013,Mining and quarrying,7,40959.6
Sardoal,2013,Mining and quarrying,0,-
Sertã,2013,Mining and quarrying,0,-
Tomar,2013,Mining and quarrying,3,-
Torres Novas,2013,Mining and quarrying,0,-
Vila de Rei,2013,Mining and quarrying,1,-
Vila Nova da Barquinha,2013,Mining and quarrying,0,-
Beiras e Serra da Estrela,2013,Mining and quarrying,41,-
Almeida,2013,Mining and quarrying,3,-
Belmonte,2013,Mining and quarrying,0,-
Celorico da Beira,2013,Mining and quarrying,2,-
Covilhã,2013,Mining and quarrying,4,28565
Figueira de Castelo Rodrigo,2013,Mining and quarrying,2,-
Fornos de Algodres,2013,Mining and quarrying,0,-
Fundão,2013,Mining and quarrying,2,-
Gouveia,2013,Mining and quarrying,1,-
Guarda,2013,Mining and quarrying,3,-
Manteigas,2013,Mining and quarrying,0,-
Mêda,2013,Mining and quarrying,1,-
Pinhel,2013,Mining and quarrying,17,19232.4
Sabugal,2013,Mining and quarrying,2,-
Seia,2013,Mining and quarrying,2,-
Trancoso,2013,Mining and quarrying,2,-
Área Metropolitana de Lisboa,2013,Mining and quarrying,95,42230
Área Metropolitana de Lisboa,2013,Mining and quarrying,95,42230
Alcochete,2013,Mining and quarrying,1,-
Almada,2013,Mining and quarrying,4,-
Amadora,2013,Mining and quarrying,0,-
Barreiro,2013,Mining and quarrying,3,9699.2
Cascais,2013,Mining and quarrying,3,18933.8
Lisboa,2013,Mining and quarrying,┴ 34,┴ -
Loures,2013,Mining and quarrying,┴ 2,┴ -
Mafra,2013,Mining and quarrying,2,-
Moita,2013,Mining and quarrying,0,-
Montijo,2013,Mining and quarrying,0,-
Odivelas,2013,Mining and quarrying,0,-
Oeiras,2013,Mining and quarrying,1,-
Palmela,2013,Mining and quarrying,0,-
Seixal,2013,Mining and quarrying,3,-
Sesimbra,2013,Mining and quarrying,9,-
Setúbal,2013,Mining and quarrying,2,-
Sintra,2013,Mining and quarrying,30,-
Vila Franca de Xira,2013,Mining and quarrying,1,-
Alentejo,2013,Mining and quarrying,189,102808.5
Alentejo Litoral,2013,Mining and quarrying,12,22055.1
Alcácer do Sal,2013,Mining and quarrying,1,-
Grândola,2013,Mining and quarrying,4,-
Odemira,2013,Mining and quarrying,0,-
Santiago do Cacém,2013,Mining and quarrying,4,-
Sines,2013,Mining and quarrying,3,-
Baixo Alentejo,2013,Mining and quarrying,8,146201.5
Aljustrel,2013,Mining and quarrying,2,-
Almodôvar,2013,Mining and quarrying,0,-
Alvito,2013,Mining and quarrying,0,-
Barrancos,2013,Mining and quarrying,0,-
Beja,2013,Mining and quarrying,1,-
Castro Verde,2013,Mining and quarrying,1,-
Cuba,2013,Mining and quarrying,0,-
Ferreira do Alentejo,2013,Mining and quarrying,1,-
Mértola,2013,Mining and quarrying,0,-
Moura,2013,Mining and quarrying,2,-
Ourique,2013,Mining and quarrying,0,-
Serpa,2013,Mining and quarrying,1,-
Vidigueira,2013,Mining and quarrying,0,-
Lezíria do Tejo,2013,Mining and quarrying,100,41105.9
Almeirim,2013,Mining and quarrying,0,-
Alpiarça,2013,Mining and quarrying,0,-
Azambuja,2013,Mining and quarrying,0,-
Benavente,2013,Mining and quarrying,0,-
Cartaxo,2013,Mining and quarrying,2,-
Chamusca,2013,Mining and quarrying,5,23472.8
Coruche,2013,Mining and quarrying,5,-
Golegã,2013,Mining and quarrying,┴ 0,┴ -
Rio Maior,2013,Mining and quarrying,32,53942.9
Salvaterra de Magos,2013,Mining and quarrying,2,-
Santarém,2013,Mining and quarrying,┴ 54,"┴ 38,967.6"
Alto Alentejo,2013,Mining and quarrying,13,17109
Alter do Chão,2013,Mining and quarrying,0,-
Arronches,2013,Mining and quarrying,0,-
Avis,2013,Mining and quarrying,0,-
Campo Maior,2013,Mining and quarrying,0,-
Castelo de Vide,2013,Mining and quarrying,0,-
Crato,2013,Mining and quarrying,3,4847.3
Elvas,2013,Mining and quarrying,3,-2976.3
Fronteira,2013,Mining and quarrying,0,-
Gavião,2013,Mining and quarrying,0,-
Marvão,2013,Mining and quarrying,0,-
Monforte,2013,Mining and quarrying,1,-
Nisa,2013,Mining and quarrying,2,-
Ponte de Sor,2013,Mining and quarrying,2,-
Portalegre,2013,Mining and quarrying,1,-
Sousel,2013,Mining and quarrying,1,-
Alentejo Central,2013,Mining and quarrying,56,20418.3
Alandroal,2013,Mining and quarrying,3,12030.6
Arraiolos,2013,Mining and quarrying,4,-
Borba,2013,Mining and quarrying,7,32518.2
Estremoz,2013,Mining and quarrying,5,-
Évora,2013,Mining and quarrying,4,-
Montemor-o-Novo,2013,Mining and quarrying,1,-
Mora,2013,Mining and quarrying,0,-
Mourão,2013,Mining and quarrying,0,-
Portel,2013,Mining and quarrying,0,-
Redondo,2013,Mining and quarrying,0,-
Reguengos de Monsaraz,2013,Mining and quarrying,0,-
Vendas Novas,2013,Mining and quarrying,0,-
Viana do Alentejo,2013,Mining and quarrying,1,-
Vila Viçosa,2013,Mining and quarrying,31,20453.9
Algarve,2013,Mining and quarrying,43,19250.3
Algarve,2013,Mining and quarrying,43,19250.3
Albufeira,2013,Mining and quarrying,0,-
Alcoutim,2013,Mining and quarrying,0,-
Aljezur,2013,Mining and quarrying,1,-
Castro Marim,2013,Mining and quarrying,6,-
Faro,2013,Mining and quarrying,3,-
Lagoa,2013,Mining and quarrying,3,-
Lagos,2013,Mining and quarrying,0,-
Loulé,2013,Mining and quarrying,5,-
Monchique,2013,Mining and quarrying,3,-
Olhão,2013,Mining and quarrying,9,-
Portimão,2013,Mining and quarrying,3,-
São Brás de Alportel,2013,Mining and quarrying,2,-
Silves,2013,Mining and quarrying,1,-
Tavira,2013,Mining and quarrying,6,-
Vila do Bispo,2013,Mining and quarrying,0,-
Vila Real de Santo António,2013,Mining and quarrying,1,-
Continente,2013,Manufacturing,64763,26388.2
Norte,2013,Manufacturing,32448,22146.7
Alto Minho,2013,Manufacturing,1624,30158.1
Arcos de Valdevez,2013,Manufacturing,107,23360.9
Caminha,2013,Manufacturing,89,10734.9
Melgaço,2013,Manufacturing,51,17583.6
Monção,2013,Manufacturing,136,17954.4
Paredes de Coura,2013,Manufacturing,52,22800.3
Ponte da Barca,2013,Manufacturing,42,12419.9
Ponte de Lima,2013,Manufacturing,299,16226.9
Valença,2013,Manufacturing,84,24278.7
Viana do Castelo,2013,Manufacturing,696,43359.8
Vila Nova de Cerveira,2013,Manufacturing,68,25074.7
Cávado,2013,Manufacturing,4466,18645.2
Amares,2013,Manufacturing,104,21133.2
Barcelos,2013,Manufacturing,2450,16806.3
Braga,2013,Manufacturing,1181,21959.9
Esposende,2013,Manufacturing,365,21715.5
Terras de Bouro,2013,Manufacturing,20,31071.7
Vila Verde,2013,Manufacturing,346,12049.9
Ave,2013,Manufacturing,5128,21996.6
Cabeceiras de Basto,2013,Manufacturing,79,9789.1
Fafe,2013,Manufacturing,744,14242.3
Guimarães,2013,Manufacturing,2152,16980.5
Mondim de Basto,2013,Manufacturing,39,9200.8
Póvoa de Lanhoso,2013,Manufacturing,212,14232.8
Vieira do Minho,2013,Manufacturing,46,10845.3
Vila Nova de Famalicão,2013,Manufacturing,1524,33437.6
Vizela,2013,Manufacturing,332,14918.7
Área Metropolitana do Porto,2013,Manufacturing,14488,25049.5
Arouca,2013,Manufacturing,242,17728.7
Espinho,2013,Manufacturing,184,20082.6
Gondomar,2013,Manufacturing,1324,16230.6
Maia,2013,Manufacturing,868,32179.1
Matosinhos,2013,Manufacturing,778,32850
Oliveira de Azeméis,2013,Manufacturing,1228,23784.1
Paredes,2013,Manufacturing,1244,13427.1
Porto,2013,Manufacturing,1101,29879.9
Póvoa de Varzim,2013,Manufacturing,444,14760.2
Santa Maria da Feira,2013,Manufacturing,2048,23167.8
Santo Tirso,2013,Manufacturing,839,18366.1
São João da Madeira,2013,Manufacturing,320,22219.6
Trofa,2013,Manufacturing,568,34298.5
Vale de Cambra,2013,Manufacturing,322,27297.9
Valongo,2013,Manufacturing,695,19136.2
Vila do Conde,2013,Manufacturing,539,26457
Vila Nova de Gaia,2013,Manufacturing,1744,31199.1
Alto Tâmega,2013,Manufacturing,459,22264.2
Boticas,2013,Manufacturing,28,12846.9
Chaves,2013,Manufacturing,212,15409.3
Montalegre,2013,Manufacturing,46,11882.6
Ribeira de Pena,2013,Manufacturing,23,11333
Valpaços,2013,Manufacturing,91,15874.1
Vila Pouca de Aguiar,2013,Manufacturing,59,42944.2
Tâmega e Sousa,2013,Manufacturing,4622,14402.2
Amarante,2013,Manufacturing,385,14315.3
Baião,2013,Manufacturing,77,12870.7
Castelo de Paiva,2013,Manufacturing,96,17006.9
Celorico de Basto,2013,Manufacturing,111,12093.9
Cinfães,2013,Manufacturing,68,8744
Felgueiras,2013,Manufacturing,1327,15807.9
Lousada,2013,Manufacturing,588,11405.7
Marco de Canaveses,2013,Manufacturing,340,14091.3
Paços de Ferreira,2013,Manufacturing,1157,14094.8
Penafiel,2013,Manufacturing,433,14465.4
Resende,2013,Manufacturing,40,15489
Douro,2013,Manufacturing,1014,19181.3
Alijó,2013,Manufacturing,91,21196.3
Armamar,2013,Manufacturing,28,14635.7
Carrazeda de Ansiães,2013,Manufacturing,47,9826
Freixo de Espada à Cinta,2013,Manufacturing,16,23582.6
Lamego,2013,Manufacturing,114,22857.4
Mesão Frio,2013,Manufacturing,16,19444.5
Moimenta da Beira,2013,Manufacturing,49,21403.7
Murça,2013,Manufacturing,32,8480.8
Penedono,2013,Manufacturing,17,13539
Peso da Régua,2013,Manufacturing,91,23068.6
Sabrosa,2013,Manufacturing,33,29465.7
Santa Marta de Penaguião,2013,Manufacturing,33,12566.4
São João da Pesqueira,2013,Manufacturing,57,27829.3
Sernancelhe,2013,Manufacturing,46,15846.5
Tabuaço,2013,Manufacturing,30,11879.1
Tarouca,2013,Manufacturing,28,25679.3
Torre de Moncorvo,2013,Manufacturing,41,15949.4
Vila Nova de Foz Côa,2013,Manufacturing,54,25622.5
Vila Real,2013,Manufacturing,191,14896.4
Terras de Trás-os-Montes,2013,Manufacturing,647,22270.4
Alfândega da Fé,2013,Manufacturing,26,10355.8
Bragança,2013,Manufacturing,139,37339.2
Macedo de Cavaleiros,2013,Manufacturing,93,9831.5
Miranda do Douro,2013,Manufacturing,67,21891.3
Mirandela,2013,Manufacturing,134,13904.1
Mogadouro,2013,Manufacturing,50,10085.4
Vila Flor,2013,Manufacturing,51,16228.2
Vimioso,2013,Manufacturing,37,10846.1
Vinhais,2013,Manufacturing,50,10619.8
Centro,2013,Manufacturing,16346,26921
Oeste,2013,Manufacturing,2521,22257.1
Alcobaça,2013,Manufacturing,648,19457.5
Alenquer,2013,Manufacturing,278,31352.7
Arruda dos Vinhos,2013,Manufacturing,97,25183.8
Bombarral,2013,Manufacturing,97,17631.7
Cadaval,2013,Manufacturing,65,15972.4
Caldas da Rainha,2013,Manufacturing,329,20691
Lourinhã,2013,Manufacturing,132,18665.5
Nazaré,2013,Manufacturing,84,13973.6
Óbidos,2013,Manufacturing,84,18216.4
Peniche,2013,Manufacturing,124,18110.5
Sobral de Monte Agraço,2013,Manufacturing,87,17982.9
Torres Vedras,2013,Manufacturing,496,23353.2
Região de Aveiro,2013,Manufacturing,3425,28171.5
Águeda,2013,Manufacturing,704,24422.3
Albergaria-a-Velha,2013,Manufacturing,275,31400
Anadia,2013,Manufacturing,362,23578.1
Aveiro,2013,Manufacturing,531,30678.3
Estarreja,2013,Manufacturing,161,66447.2
Ílhavo,2013,Manufacturing,307,24968.2
Murtosa,2013,Manufacturing,44,22166.8
Oliveira do Bairro,2013,Manufacturing,284,25458
Ovar,2013,Manufacturing,427,24973.4
Sever do Vouga,2013,Manufacturing,152,23771.9
Vagos,2013,Manufacturing,178,28617.2
Região de Coimbra,2013,Manufacturing,2514,35269.8
Arganil,2013,Manufacturing,82,16463.4
Cantanhede,2013,Manufacturing,280,34491.3
Coimbra,2013,Manufacturing,591,19369
Condeixa-a-Nova,2013,Manufacturing,93,17347.6
Figueira da Foz,2013,Manufacturing,282,88124.4
Góis,2013,Manufacturing,27,12033
Lousã,2013,Manufacturing,86,33304.3
Mealhada,2013,Manufacturing,183,25718.9
Mira,2013,Manufacturing,74,20244
Miranda do Corvo,2013,Manufacturing,63,10040.9
Montemor-o-Velho,2013,Manufacturing,146,12575.2
Mortágua,2013,Manufacturing,73,32907.3
Oliveira do Hospital,2013,Manufacturing,164,13168.2
Pampilhosa da Serra,2013,Manufacturing,12,9927.2
Penacova,2013,Manufacturing,69,23422
Penela,2013,Manufacturing,42,23929
Soure,2013,Manufacturing,115,21213.2
Tábua,2013,Manufacturing,91,15565.3
Vila Nova de Poiares,2013,Manufacturing,41,19339.7
Região de Leiria,2013,Manufacturing,3094,27705.6
Alvaiázere,2013,Manufacturing,64,10882.6
Ansião,2013,Manufacturing,100,26630.9
Batalha,2013,Manufacturing,178,20874.1
Castanheira de Pêra,2013,Manufacturing,26,15948.1
Figueiró dos Vinhos,2013,Manufacturing,36,12754.8
Leiria,2013,Manufacturing,1345,28096.6
Marinha Grande,2013,Manufacturing,556,33039.6
Pedrógão Grande,2013,Manufacturing,29,19123
Pombal,2013,Manufacturing,444,25368.4
Porto de Mós,2013,Manufacturing,316,24269.2
Viseu Dão Lafões,2013,Manufacturing,1462,24590.5
Aguiar da Beira,2013,Manufacturing,40,18947.7
Carregal do Sal,2013,Manufacturing,88,22220.2
Castro Daire,2013,Manufacturing,75,14006.6
Mangualde,2013,Manufacturing,115,28285.6
Nelas,2013,Manufacturing,70,34086.2
Oliveira de Frades,2013,Manufacturing,85,20128.3
Penalva do Castelo,2013,Manufacturing,33,10714.3
Santa Comba Dão,2013,Manufacturing,68,14390.3
São Pedro do Sul,2013,Manufacturing,84,15970.1
Sátão,2013,Manufacturing,79,15078.8
Tondela,2013,Manufacturing,168,40371
Vila Nova de Paiva,2013,Manufacturing,30,12993.3
Viseu,2013,Manufacturing,458,18126.2
Vouzela,2013,Manufacturing,69,19081.1
Beira Baixa,2013,Manufacturing,512,27660
Castelo Branco,2013,Manufacturing,278,16067.3
Idanha-a-Nova,2013,Manufacturing,52,9069.3
Oleiros,2013,Manufacturing,38,25910.5
Penamacor,2013,Manufacturing,30,10989.8
